Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-01-02D04:19:51.857166800
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
697500.0,1.0,719500.0,1.0
TimeStamp,2014-01-02D08:45:00.131582600
682000.0,111.0,0.0,210.0
nan,nan,715500.0,2.0
nan,nan,717500.0,1.0
TimeStamp,2014-01-02D08:45:00.296582600
708000.0,210.0,682000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:45:00.398582300
708000.0,210.0,708000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:45:13.857414600
708000.0,210.0,708000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:45:14.977402600
708000.0,210.0,708000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:45:18.317366600
708000.0,210.0,708000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:45:30.059222600
708000.0,210.0,708000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:45:36.809138600
708000.0,210.0,708000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:46:00.014862600
708000.0,210.0,708000.0,210.0
700500.0,2.0,715500.0,2.0
699000.0,2.0,717500.0,1.0
TimeStamp,2014-01-02D08:46:00.018862600
706500.0,210.0,706500.0,210.0
700500.0,2.0,712000.0,2.0
699000.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.021862600
706500.0,210.0,706500.0,210.0
700500.0,2.0,712000.0,2.0
699000.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.022862600
706500.0,210.0,706500.0,210.0
700500.0,2.0,712000.0,2.0
699000.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.024862600
706500.0,210.0,706500.0,210.0
700500.0,2.0,712000.0,2.0
699000.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.025862600
706500.0,210.0,706500.0,210.0
700500.0,2.0,712000.0,2.0
699000.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.033862600
707000.0,210.0,706500.0,210.0
702000.0,1.0,712000.0,2.0
700500.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.033862600
707000.0,210.0,707000.0,210.0
702000.0,1.0,712000.0,2.0
700500.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.036862600
707000.0,210.0,707000.0,210.0
702000.0,1.0,712000.0,2.0
700500.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.037862600
707000.0,210.0,707000.0,210.0
702000.0,1.0,712000.0,2.0
700500.0,2.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.043862600
709500.0,210.0,707000.0,210.0
707000.0,1.0,712000.0,2.0
702000.0,1.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.043862600
709500.0,210.0,709500.0,210.0
707000.0,1.0,712000.0,2.0
702000.0,1.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.045862600
709500.0,210.0,709500.0,210.0
707000.0,1.0,712000.0,2.0
702000.0,1.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.048862600
709500.0,210.0,709500.0,210.0
707000.0,1.0,712000.0,4.0
702000.0,1.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.052862600
709500.0,210.0,709500.0,210.0
707000.0,1.0,712000.0,4.0
702000.0,1.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.056862600
709500.0,210.0,709500.0,210.0
707000.0,1.0,712000.0,4.0
702000.0,1.0,715500.0,2.0
TimeStamp,2014-01-02D08:46:00.061862600
709500.0,210.0,709500.0,210.0
707000.0,1.0,712000.0,4.0
702000.0,1.0,715500.0,2.0
