Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-02-14D04:27:41.763364800
680000.0,2.0,698500.0,20.0
nan,nan,699500.0,2.0
nan,nan,703000.0,2.0
TimeStamp,2014-02-14D08:45:00.124410300
680000.0,2.0,698500.0,20.0
671500.0,20.0,699500.0,2.0
nan,nan,703000.0,2.0
TimeStamp,2014-02-14D08:45:00.406398300
680000.0,2.0,698500.0,20.0
671500.0,20.0,699500.0,2.0
nan,nan,702000.0,5.0
TimeStamp,2014-02-14D08:45:00.498398300
681000.0,25.0,698500.0,20.0
680000.0,7.0,699500.0,2.0
671500.0,20.0,702000.0,5.0
TimeStamp,2014-02-14D08:45:00.607398300
681000.0,25.0,698000.0,2.0
680000.0,7.0,698500.0,20.0
671500.0,20.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:02.348376700
681000.0,25.0,698000.0,2.0
680000.0,7.0,698500.0,20.0
671500.0,20.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:02.821374300
681000.0,25.0,698000.0,2.0
680000.0,7.0,698500.0,20.0
672000.0,1.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:03.174374300
681000.0,25.0,698000.0,2.0
680000.0,7.0,698500.0,20.0
672000.0,1.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:03.620362300
681000.0,25.0,698000.0,2.0
680000.0,7.0,698500.0,20.0
672000.0,2.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:03.733362300
681000.0,25.0,698000.0,2.0
680000.0,7.0,698500.0,20.0
672000.0,3.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:17.544194300
681000.0,25.0,698000.0,2.0
680500.0,1.0,698500.0,20.0
680000.0,7.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:26.994085900
681000.0,25.0,698000.0,2.0
680500.0,1.0,698500.0,20.0
680000.0,8.0,699500.0,2.0
TimeStamp,2014-02-14D08:45:30.062049900
681000.0,25.0,698000.0,2.0
680500.0,1.0,698500.0,20.0
680000.0,10.0,699500.0,2.0
TimeStamp,2014-02-14D08:46:00.022689900
681000.0,25.0,698000.0,2.0
680500.0,1.0,698500.0,20.0
680000.0,10.0,699500.0,2.0
TimeStamp,2014-02-14D08:46:00.026689900
681000.0,25.0,698000.0,2.0
680500.0,1.0,698500.0,20.0
680000.0,10.0,699500.0,2.0
TimeStamp,2014-02-14D08:46:00.029689900
681000.0,25.0,692000.0,5.0
680500.0,1.0,698000.0,2.0
680000.0,10.0,698500.0,20.0
TimeStamp,2014-02-14D08:46:00.066689900
681000.0,25.0,692000.0,5.0
680500.0,1.0,698000.0,2.0
680000.0,10.0,698500.0,20.0
TimeStamp,2014-02-14D08:46:00.073689900
681000.0,25.0,692000.0,5.0
680500.0,1.0,698000.0,2.0
680000.0,12.0,698500.0,20.0
TimeStamp,2014-02-14D08:46:00.074689900
681000.0,25.0,692000.0,5.0
680500.0,1.0,698000.0,2.0
680000.0,12.0,698500.0,20.0
TimeStamp,2014-02-14D08:46:00.597677900
681000.0,25.0,692000.0,5.0
680500.0,1.0,698000.0,2.0
680000.0,12.0,698500.0,20.0
TimeStamp,2014-02-14D08:46:01.049677900
685000.0,80.0,691500.0,65.0
684000.0,80.0,692000.0,5.0
681000.0,25.0,698000.0,2.0
TimeStamp,2014-02-14D08:46:01.049677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,691500.0,65.0
681000.0,25.0,692000.0,5.0
TimeStamp,2014-02-14D08:46:01.056677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691500.0,65.0
TimeStamp,2014-02-14D08:46:01.057677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:01.059677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:01.068677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:01.072677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:01.073677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:01.075677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:01.077677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:01.080677900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.021665900
685000.0,80.0,688500.0,40.0
684000.0,80.0,690000.0,80.0
681000.0,25.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.062665900
685000.0,146.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.063665900
685000.0,146.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.065665900
685000.0,146.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.066665900
685000.0,146.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.068665900
685000.0,146.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.069665900
685000.0,146.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:02.071665900
685000.0,146.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:29.237341900
685000.0,151.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:38.866221900
685000.0,151.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:38.896221900
685000.0,71.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:54.389041900
685000.0,71.0,688500.0,40.0
684500.0,66.0,690000.0,80.0
684000.0,212.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:56.137017900
685500.0,16.0,688500.0,40.0
685000.0,71.0,690000.0,80.0
684500.0,66.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:56.166017900
685500.0,16.0,688500.0,40.0
685000.0,71.0,690000.0,80.0
684500.0,66.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:57.267005900
685500.0,16.0,688500.0,40.0
685000.0,71.0,690000.0,80.0
684500.0,66.0,691000.0,80.0
TimeStamp,2014-02-14D08:46:57.694993900
685500.0,16.0,688500.0,40.0
685000.0,71.0,690000.0,80.0
684500.0,66.0,691500.0,65.0
TimeStamp,2014-02-14D08:46:58.339993900
685500.0,16.0,688500.0,40.0
685000.0,71.0,691500.0,65.0
684500.0,66.0,692000.0,5.0
TimeStamp,2014-02-14D08:47:00.956957900
685500.0,16.0,688500.0,40.0
685000.0,71.0,691500.0,65.0
684500.0,66.0,692000.0,5.0
TimeStamp,2014-02-14D08:47:01.587948600
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,693500.0,66.0
TimeStamp,2014-02-14D08:47:09.284861900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,693500.0,66.0
TimeStamp,2014-02-14D08:47:10.919837900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,693500.0,66.0
TimeStamp,2014-02-14D08:47:16.735765900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,693000.0,16.0
TimeStamp,2014-02-14D08:47:24.499681900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:47:47.458405900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:06.055177900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:06.280177900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:14.989069900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:15.350069900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:17.197045900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:23.428973900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
TimeStamp,2014-02-14D08:48:25.187949900
685500.0,16.0,691500.0,65.0
685000.0,71.0,692000.0,5.0
684500.0,66.0,692500.0,16.0
