Bid,Bid_Quantity,Ask,Ask_Quantity
TimeStamp,2014-03-21D04:21:50.286420400
600500.0,10.0,630500.0,16.0
nan,nan,632000.0,16.0
nan,nan,632500.0,8.0
TimeStamp,2014-03-21D05:26:47.502551800
600500.0,10.0,630500.0,16.0
nan,nan,632000.0,16.0
nan,nan,632500.0,8.0
TimeStamp,2014-03-21D04:21:50.289420400
600500.0,10.0,630500.0,16.0
nan,nan,632000.0,16.0
nan,nan,632500.0,8.0
TimeStamp,2014-03-21D05:26:47.502551800
600500.0,20.0,630500.0,16.0
nan,nan,632000.0,16.0
nan,nan,632500.0,16.0
TimeStamp,2014-03-21D04:21:50.289420400
600500.0,20.0,630500.0,16.0
nan,nan,632000.0,16.0
nan,nan,632500.0,16.0
TimeStamp,2014-03-21D08:45:10.699826700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
620000.0,6.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:12.745806700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:23.771696700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:25.103676700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:30.246626700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:32.788606700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:34.654586700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:34.869586700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:38.404546700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:39.225536700
627500.0,2.0,630500.0,16.0
625500.0,1.0,632000.0,16.0
621000.0,1.0,632500.0,16.0
TimeStamp,2014-03-21D08:45:40.422526700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,632000.0,16.0
TimeStamp,2014-03-21D08:45:40.783526700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:42.870506700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:42.963499500
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:46.036466700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:48.384446700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:49.461436700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:51.663416700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:53.461396700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:56.574366700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:57.764356700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:57.925356300
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:58.453346700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:45:59.263336700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:46:00.027326700
627500.0,2.0,630000.0,9.0
625500.0,1.0,630500.0,16.0
621000.0,1.0,631500.0,9.0
TimeStamp,2014-03-21D08:46:00.031326700
